Alimento,Calorias,Grasas,Proteinas,Carbohidratos
ARIZONA KIWI/FRESA,117.0,0,0,29
SANDWICH,271.0,11.59,13.05,27.87
CEVICHE,70.0,0.98,11.14,4.09
SKITTLES,97.0,4,0,91
SALCHICHA CON PAPAS,210.0,10,9,27
JUGO DE NARANJA,112.0,0.5,1.74,25.79
YOGURT FRESA,110.0,2,4,19
NIEVE HOLANDA,117.0,4,1,18
LECHE DE ALMENDRA,40.0,3.58,1.51,1.4
CACAHUATES JAPONESES,211.0,11,9,19
LECHE HERSHEY'S,139.5,2.7,6.8,22
COSTILLAS,296.0,22.13,21.71,0
TACOS DE BARBACOA,196.0,10.93,9.77,16.17
JUGO DE PINA,132.0,0,0,33
CAMARONES,154.0,5.03,24.47,1.17
BROCOLI,34.0,0.4,2.3,6.93
PINA COLADA,230.0,2.54,0.58,29.65
VASO DE AGUA,0.0,0,0,0
MONSTER,25.0,0,0,0
PERA,57.0,0.1,0.4,15.2
GATORADE,78.0,0,0,19.2
SPRITE,120.0,0,0,30.3
ROOTBEER,123.0,0,0,31.8
RED BULL,129.0,0,1.5,30.6
AGUA DE HORCHATA,162.0,2.1,1.5,34.5
SOPA DE FIDEOS,201.0,7.5,11.7,21.6
RAISIN BRAN,324.0,1.6,7.6,78.9
AGUACATE,334.0,30.8,4,172.3
PAPAS FRANCESAS,390.0,10.2,6.6,70.5
FILETE TILAPIA,512.0,10.8,104.8,0
BAGUETTE,584.0,9.6,42.8,81.6
T-BONE,612.0,26,88.8,0
BURRITO DE FRIJOLES,618.0,18.6,19.5,98.7
RIBEYE,624.0,30.9,85.2,1.5
ARROZ CONDIMENTADO,718.0,2.8,20.8,52.6
LASAGNA,736.0,43.2,45.2,41.2
WAFFLES,819.0,27.6,19.8,123.3
PICADILLO,831.0,56.1,76.2,40
WRAP,888.0,41.2,55.2,73.6
CAMARONES EMPANIZADOS,924.0,56.7,23.4,84
NUGGETS DE POLLO,978.0,67.8,49.5,42.9
SUPLEMENTO PROTEINA,1233.0,51.3,130,55.5
CHOCOLATE HERSHEY'S,1470.0,75,40.2,158.7
REESES,1491.0,74.4,37.5,179.7
SANDIA,30.0,0.2,0.6,7.6
YOGURT GRIEGO,155.0,3.9,12,18
OMELETTE,616.0,46.8,42.4,2.4
CUPCAKE,776.0,50.8,14.4,69.4
DONAS,904.0,50.6,9.8,102.6
GUACAMOLE,91.0,8.34,1.14,4.96
SUSHI,378.0,1.41,15.87,72.81
HUEVO REVUELTO,447.0,33,30,4.8
COCA COLA LIGHT,0.0,0,0,0
PECHUGA DE POLLO,240.0,1.2,50.4,6.9
TENDERS DE POLLO,813.0,42,57.6,51.9
PAY DE QUESO,963.0,67.5,16.5,76.5
CHILI,471.0,29.4,37.8,13.8
POZOLE,476.0,29,27,29
CHICLES,4.0,0,0,1
HALLS,15.0,0,0,5
CHILE COLORADO,299.0,9,44,2
ENCHILADAS SUIZAS,950.0,44,47,102
ZUCARITAS,160.0,1,1,34
MENUDO,233.0,5,17,30
PAN DE AJO,85.0,5,1,8
POLLO AGRIDULCE,120.0,1,4,22
BANDERILLA,229.0,12,6,22
TORTA,414.0,30,6,40
CHILE RELLENO,450.0,35,32,3
GORDITAS,160.0,4,4,26
ENSALADA MIXTA,41.0,1,0,9
ENSALADA CESAR,341.0,19,26,17
SURIMI,88.0,1,9,9
ALBONDIGAS,325.0,17,22,20
YAKISOBA,260.0,3,7,50
MARUCHAN,441.0,17,0,61
BISCUIT KFC,358.0,17,7,43
GRANADA,65.0,3,0,6
GUAYABA,86.0,0,0,21
CIRUELA,282.0,0,2,63
CAMOTE,82.0,0,1,19
ATUN,45.0,3,16,6
TAMALES,153.0,6,6,18
PAVO,160.0,8,20,3
FLAN,223.0,6,7,35
